Transitoin Probabilities
P(X_t+1)=e | X_t=g) 0.0967901234568
P(X_t+1)=d | X_t=g) 0.000123456790123
P(X_t+1)=g | X_t=g) 0.0234567901235
P(X_t+1)=f | X_t=g) 0.000123456790123
P(X_t+1)=i | X_t=g) 0.0901234567901
P(X_t+1)=h | X_t=g) 0.0834567901235
P(X_t+1)=k | X_t=g) 0.000123456790123
P(X_t+1)=j | X_t=g) 0.000123456790123
P(X_t+1)=m | X_t=g) 0.0234567901235
P(X_t+1)=l | X_t=g) 0.00345679012346
P(X_t+1)=o | X_t=g) 0.0567901234568
P(X_t+1)=n | X_t=g) 0.0234567901235
P(X_t+1)=q | X_t=g) 0.000123456790123
P(X_t+1)=p | X_t=g) 0.000123456790123
P(X_t+1)=s | X_t=g) 0.0901234567901
P(X_t+1)=r | X_t=g) 0.0901234567901
P(X_t+1)=u | X_t=g) 0.0267901234568
P(X_t+1)=t | X_t=g) 0.00345679012346
P(X_t+1)=w | X_t=g) 0.000123456790123
P(X_t+1)=v | X_t=g) 0.000123456790123
P(X_t+1)=y | X_t=g) 0.0267901234568
P(X_t+1)=x | X_t=g) 0.000123456790123
P(X_t+1)=z | X_t=g) 0.000123456790123
P(X_t+1)=_ | X_t=f) 0.373495858728
P(X_t+1)=a | X_t=f) 0.0296140021878
P(X_t+1)=c | X_t=f) 7.81372089389e-05
P(X_t+1)=b | X_t=f) 7.81372089389e-05
P(X_t+1)=e | X_t=f) 0.149867166745
P(X_t+1)=d | X_t=f) 7.81372089389e-05
P(X_t+1)=g | X_t=f) 7.81372089389e-05
P(X_t+1)=f | X_t=f) 0.0359431161119
P(X_t+1)=i | X_t=f) 0.0570401625254
P(X_t+1)=h | X_t=f) 7.81372089389e-05
P(X_t+1)=k | X_t=f) 7.81372089389e-05
P(X_t+1)=j | X_t=f) 7.81372089389e-05
P(X_t+1)=m | X_t=f) 7.81372089389e-05
P(X_t+1)=l | X_t=f) 0.0148460696984
P(X_t+1)=o | X_t=f) 0.097124550711
P(X_t+1)=n | X_t=f) 7.81372089389e-05
P(X_t+1)=q | X_t=f) 7.81372089389e-05
P(X_t+1)=p | X_t=f) 7.81372089389e-05
P(X_t+1)=s | X_t=f) 0.00429754649164
P(X_t+1)=r | X_t=f) 0.0211751836224
P(X_t+1)=u | X_t=f) 0.0296140021878
P(X_t+1)=t | X_t=f) 0.170964213158
P(X_t+1)=w | X_t=f) 7.81372089389e-05
P(X_t+1)=v | X_t=f) 7.81372089389e-05
P(X_t+1)=y | X_t=f) 0.0148460696984
P(X_t+1)=x | X_t=f) 7.81372089389e-05
P(X_t+1)=z | X_t=f) 7.81372089389e-05
P(X_t+1)=_ | X_t=i) 0.00221519842235
P(X_t+1)=a | X_t=i) 0.0474376637761
P(X_t+1)=c | X_t=i) 0.070048896453
P(X_t+1)=b | X_t=i) 0.00440338222979
P(X_t+1)=e | X_t=i) 0.0496258475835
P(X_t+1)=d | X_t=i) 0.0233676418943
P(X_t+1)=g | X_t=i) 0.0182618796769
P(X_t+1)=f | X_t=i) 0.0226382472918
P(X_t+1)=i | X_t=i) 2.70146149067e-05
P(X_t+1)=h | X_t=i) 2.70146149067e-05
P(X_t+1)=k | X_t=i) 0.00367398762731
P(X_t+1)=j | X_t=i) 2.70146149067e-05
P(X_t+1)=m | X_t=i) 0.0386849285463
P(X_t+1)=l | X_t=i) 0.0357673501364
P(X_t+1)=o | X_t=i) 0.0912013399249
P(X_t+1)=n | X_t=i) 0.214469027744
P(X_t+1)=q | X_t=i) 0.000756409217387
P(X_t+1)=p | X_t=i) 0.00805035524219
P(X_t+1)=s | X_t=i) 0.16632898398
P(X_t+1)=r | X_t=i) 0.0175324850744
P(X_t+1)=u | X_t=i) 2.70146149067e-05
P(X_t+1)=t | X_t=i) 0.105789231974
P(X_t+1)=w | X_t=i) 2.70146149067e-05
P(X_t+1)=v | X_t=i) 0.0532728205959
P(X_t+1)=y | X_t=i) 2.70146149067e-05
P(X_t+1)=x | X_t=i) 2.70146149067e-05
P(X_t+1)=z | X_t=i) 0.0262852203042
P(X_t+1)=_ | X_t=h) 0.0735789265201
P(X_t+1)=a | X_t=h) 0.199247375718
P(X_t+1)=c | X_t=h) 4.95147553971e-05
P(X_t+1)=b | X_t=h) 4.95147553971e-05
P(X_t+1)=e | X_t=h) 0.446573578927
P(X_t+1)=d | X_t=h) 4.95147553971e-05
P(X_t+1)=g | X_t=h) 4.95147553971e-05
P(X_t+1)=f | X_t=h) 4.95147553971e-05
P(X_t+1)=i | X_t=h) 0.12972865914
P(X_t+1)=h | X_t=h) 4.95147553971e-05
P(X_t+1)=k | X_t=h) 4.95147553971e-05
P(X_t+1)=j | X_t=h) 4.95147553971e-05
P(X_t+1)=m | X_t=h) 0.00138641315112
P(X_t+1)=l | X_t=h) 0.00673400673401
P(X_t+1)=o | X_t=h) 0.0816003168944
P(X_t+1)=n | X_t=h) 0.00940780352545
P(X_t+1)=q | X_t=h) 4.95147553971e-05
P(X_t+1)=p | X_t=h) 4.95147553971e-05
P(X_t+1)=s | X_t=h) 0.00272331154684
P(X_t+1)=r | X_t=h) 0.00807090512973
P(X_t+1)=u | X_t=h) 0.0160922955041
P(X_t+1)=t | X_t=h) 0.0160922955041
P(X_t+1)=w | X_t=h) 4.95147553971e-05
P(X_t+1)=v | X_t=h) 4.95147553971e-05
P(X_t+1)=y | X_t=h) 0.00807090512973
P(X_t+1)=x | X_t=h) 4.95147553971e-05
P(X_t+1)=z | X_t=h) 4.95147553971e-05
P(X_t+1)=_ | X_t=k) 0.487654320988
P(X_t+1)=a | X_t=k) 0.000474833808167
P(X_t+1)=c | X_t=k) 0.000474833808167
P(X_t+1)=b | X_t=k) 0.000474833808167
P(X_t+1)=e | X_t=k) 0.333808167142
P(X_t+1)=d | X_t=k) 0.0132953466287
P(X_t+1)=g | X_t=k) 0.000474833808167
P(X_t+1)=f | X_t=k) 0.000474833808167
P(X_t+1)=i | X_t=k) 0.115859449193
P(X_t+1)=h | X_t=k) 0.000474833808167
P(X_t+1)=k | X_t=k) 0.000474833808167
P(X_t+1)=j | X_t=k) 0.000474833808167
P(X_t+1)=m | X_t=k) 0.000474833808167
P(X_t+1)=l | X_t=k) 0.000474833808167
P(X_t+1)=o | X_t=k) 0.000474833808167
P(X_t+1)=n | X_t=k) 0.0261158594492
P(X_t+1)=q | X_t=k) 0.000474833808167
P(X_t+1)=p | X_t=k) 0.000474833808167
P(X_t+1)=s | X_t=k) 0.0132953466287
P(X_t+1)=r | X_t=k) 0.000474833808167
P(X_t+1)=u | X_t=k) 0.000474833808167
P(X_t+1)=t | X_t=k) 0.000474833808167
P(X_t+1)=w | X_t=k) 0.000474833808167
P(X_t+1)=v | X_t=k) 0.000474833808167
P(X_t+1)=y | X_t=k) 0.000474833808167
P(X_t+1)=x | X_t=k) 0.000474833808167
P(X_t+1)=z | X_t=k) 0.000474833808167
P(X_t+1)=_ | X_t=j) 0.00205761316872
P(X_t+1)=a | X_t=j) 0.00205761316872
P(X_t+1)=c | X_t=j) 0.00205761316872
P(X_t+1)=b | X_t=j) 0.00205761316872
P(X_t+1)=e | X_t=j) 0.446502057613
P(X_t+1)=d | X_t=j) 0.00205761316872
P(X_t+1)=g | X_t=j) 0.00205761316872
P(X_t+1)=f | X_t=j) 0.00205761316872
P(X_t+1)=i | X_t=j) 0.00205761316872
P(X_t+1)=h | X_t=j) 0.00205761316872
P(X_t+1)=k | X_t=j) 0.00205761316872
P(X_t+1)=j | X_t=j) 0.00205761316872
P(X_t+1)=m | X_t=j) 0.00205761316872
P(X_t+1)=l | X_t=j) 0.00205761316872
P(X_t+1)=o | X_t=j) 0.279835390947
P(X_t+1)=n | X_t=j) 0.00205761316872
P(X_t+1)=q | X_t=j) 0.00205761316872
P(X_t+1)=p | X_t=j) 0.00205761316872
P(X_t+1)=s | X_t=j) 0.00205761316872
P(X_t+1)=r | X_t=j) 0.00205761316872
P(X_t+1)=u | X_t=j) 0.224279835391
P(X_t+1)=t | X_t=j) 0.00205761316872
P(X_t+1)=w | X_t=j) 0.00205761316872
P(X_t+1)=v | X_t=j) 0.00205761316872
P(X_t+1)=y | X_t=j) 0.00205761316872
P(X_t+1)=x | X_t=j) 0.00205761316872
P(X_t+1)=z | X_t=j) 0.00205761316872
P(X_t+1)=_ | X_t=m) 0.181489879903
P(X_t+1)=a | X_t=m) 0.208700764256
P(X_t+1)=c | X_t=m) 8.39842109683e-05
P(X_t+1)=b | X_t=m) 0.0114218526917
P(X_t+1)=e | X_t=m) 0.186025027295
P(X_t+1)=d | X_t=m) 8.39842109683e-05
P(X_t+1)=g | X_t=m) 8.39842109683e-05
P(X_t+1)=f | X_t=m) 0.00235155790711
P(X_t+1)=i | X_t=m) 0.0817166372722
P(X_t+1)=h | X_t=m) 8.39842109683e-05
P(X_t+1)=k | X_t=m) 8.39842109683e-05
P(X_t+1)=j | X_t=m) 8.39842109683e-05
P(X_t+1)=m | X_t=m) 0.00915427899555
P(X_t+1)=l | X_t=m) 8.39842109683e-05
P(X_t+1)=o | X_t=m) 0.17695473251
P(X_t+1)=n | X_t=m) 8.39842109683e-05
P(X_t+1)=q | X_t=m) 8.39842109683e-05
P(X_t+1)=p | X_t=m) 0.063576047703
P(X_t+1)=s | X_t=m) 0.0590409003107
P(X_t+1)=r | X_t=m) 8.39842109683e-05
P(X_t+1)=u | X_t=m) 0.0136894263878
P(X_t+1)=t | X_t=m) 8.39842109683e-05
P(X_t+1)=w | X_t=m) 8.39842109683e-05
P(X_t+1)=v | X_t=m) 8.39842109683e-05
P(X_t+1)=y | X_t=m) 0.00461913160326
P(X_t+1)=x | X_t=m) 8.39842109683e-05
P(X_t+1)=z | X_t=m) 8.39842109683e-05
P(X_t+1)=_ | X_t=l) 0.151010914296
P(X_t+1)=a | X_t=l) 0.0700930398998
P(X_t+1)=c | X_t=l) 0.00246018965826
P(X_t+1)=b | X_t=l) 4.47307210592e-05
P(X_t+1)=e | X_t=l) 0.242798353909
P(X_t+1)=d | X_t=l) 0.0266147790302
P(X_t+1)=g | X_t=l) 4.47307210592e-05
P(X_t+1)=f | X_t=l) 0.0266147790302
P(X_t+1)=i | X_t=l) 0.161880479513
P(X_t+1)=h | X_t=l) 4.47307210592e-05
P(X_t+1)=k | X_t=l) 4.47307210592e-05
P(X_t+1)=j | X_t=l) 4.47307210592e-05
P(X_t+1)=m | X_t=l) 0.00487564859546
P(X_t+1)=l | X_t=l) 0.0809626051172
P(X_t+1)=o | X_t=l) 0.0580157452138
P(X_t+1)=n | X_t=l) 0.00125246018966
P(X_t+1)=q | X_t=l) 4.47307210592e-05
P(X_t+1)=p | X_t=l) 0.00366791912686
P(X_t+1)=s | X_t=l) 0.0217838611558
